№,Код_поставщика,Наименование_поставщика,Код_потребителя,Наименование_потребителя,Тип_связи,Сила_связи,Примечание
1741,13.94,"Производство канатов, веревок, шпагата и сетей",46.41,Торговля оптовая текстильными изделиями,Текстиль в опт,4,"Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство канатов, веревок, шпагата и сетей. Потребитель: Торговля оптовая текстильными изделиями"
1742,13.94,"Производство канатов, веревок, шпагата и сетей",46.42,Торговля оптовая одеждой и обувью,Текстиль в опт,4,"Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство канатов, веревок, шпагата и сетей. Потребитель: Торговля оптовая одеждой и обувью"
1743,13.94,"Производство канатов, веревок, шпагата и сетей",46.43,Торговля оптовая бытовыми электротоварами,Текстиль в опт,4,"Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство канатов, веревок, шпагата и сетей. Потребитель: Торговля оптовая бытовыми электротоварами"
1744,13.94,"Производство канатов, веревок, шпагата и сетей",46.44,Торговля оптовая изделиями из керамики и стекла и чистящими средствами,Текстиль в опт,4,"Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство канатов, веревок, шпагата и сетей. Потребитель: Торговля оптовая изделиями из керамики и стекла и "
1745,13.94,"Производство канатов, веревок, шпагата и сетей",46.45,Торговля оптовая парфюмерными и косметическими товарами,Текстиль в опт,4,"Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство канатов, веревок, шпагата и сетей. Потребитель: Торговля оптовая парфюмерными и косметическими тов"
1746,13.94,"Производство канатов, веревок, шпагата и сетей",46.46,Торговля оптовая фармацевтической продукцией,Текстиль в опт,4,"Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство канатов, веревок, шпагата и сетей. Потребитель: Торговля оптовая фармацевтической продукцией"
1747,13.94,"Производство канатов, веревок, шпагата и сетей",46.47,"Торговля оптовая мебелью, коврами и осветительным оборудованием",Текстиль в опт,4,"Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство канатов, веревок, шпагата и сетей. Потребитель: Торговля оптовая мебелью, коврами и осветительным "
1748,13.94,"Производство канатов, веревок, шпагата и сетей",46.48,Торговля оптовая часами и ювелирными изделиями,Текстиль в опт,4,"Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство канатов, веревок, шпагата и сетей. Потребитель: Торговля оптовая часами и ювелирными изделиями"
1749,13.94,"Производство канатов, веревок, шпагата и сетей",46.49,Торговля оптовая прочими бытовыми товарами,Текстиль в опт,4,"Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство канатов, веревок, шпагата и сетей. Потребитель: Торговля оптовая прочими бытовыми товарами"
1750,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",14.1,"Производство одежды, кроме одежды из меха",Ткани для одежды,4,"Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Производство одежды, кроме одежды из меха"
1751,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",14.11,Производство одежды из кожи,Ткани для одежды,5,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Производство одежды из кожи
1752,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",14.12,Производство спецодежды,Ткани для одежды,5,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Производство спецодежды
1753,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",14.13,Производство прочей верхней одежды,Ткани для одежды,5,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Производство прочей верхней одежды
1754,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",14.14,Производство нательного белья,Ткани для одежды,5,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Производство нательного белья
1755,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",14.19,Производство прочей одежды и аксессуаров одежды,Ткани для одежды,5,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Производство прочей одежды и аксессуаров одежды
1756,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",14.2,Производство меховых изделий,Ткани для одежды,4,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Производство меховых изделий
1757,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",14.20,Производство меховых изделий,Ткани для одежды,5,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Производство меховых изделий
1758,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",14.3,Производство вязаных и трикотажных изделий одежды,Ткани для одежды,4,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Производство вязаных и трикотажных изделий одежды
1759,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",14.31,Производство вязаных и трикотажных чулочно-носочных изделий,Ткани для одежды,5,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Производство вязаных и трикотажных чулочно-носочны
1760,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",14.39,Производство прочих вязаных и трикотажных изделий,Ткани для одежды,5,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Производство прочих вязаных и трикотажных изделий
1761,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",15.1,"Дубление и отделка кожи, производство чемоданов, сумок, шорно-седельных изделий из кожи; выделка и крашение меха",Текстиль для обуви,2,"Текстильные материалы используются в производстве обуви (подкладка, верх обуви). Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Дубление и отделка кожи, производство чемоданов, с"
1762,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",15.11,"Дубление и выделка кожи, выделка и крашение меха",Текстиль для обуви,4,"Текстильные материалы используются в производстве обуви (подкладка, верх обуви). Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Дубление и выделка кожи, выделка и крашение меха"
1763,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",15.12,"Производство чемоданов, дамских сумок и аналогичных изделий из кожи и других материалов; производство шорно-седельных и других изделий из кожи",Текстиль для обуви,4,"Текстильные материалы используются в производстве обуви (подкладка, верх обуви). Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Производство чемоданов, дамских сумок и аналогичны"
1764,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",15.2,Производство обуви,Текстиль для обуви,2,"Текстильные материалы используются в производстве обуви (подкладка, верх обуви). Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Производство обуви"
1765,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",15.20,Производство обуви,Текстиль для обуви,4,"Текстильные материалы используются в производстве обуви (подкладка, верх обуви). Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Производство обуви"
1766,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",46.4,Торговля оптовая непродовольственными потребительскими товарами,Текстиль в опт,2,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Торговля оптовая непродовольственными потребительс
1767,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",46.41,Торговля оптовая текстильными изделиями,Текстиль в опт,4,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Торговля оптовая текстильными изделиями
1768,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",46.42,Торговля оптовая одеждой и обувью,Текстиль в опт,4,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Торговля оптовая одеждой и обувью
1769,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",46.43,Торговля оптовая бытовыми электротоварами,Текстиль в опт,4,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Торговля оптовая бытовыми электротоварами
1770,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",46.44,Торговля оптовая изделиями из керамики и стекла и чистящими средствами,Текстиль в опт,4,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Торговля оптовая изделиями из керамики и стекла и 
1771,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",46.45,Торговля оптовая парфюмерными и косметическими товарами,Текстиль в опт,4,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Торговля оптовая парфюмерными и косметическими тов
1772,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",46.46,Торговля оптовая фармацевтической продукцией,Текстиль в опт,4,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Торговля оптовая фармацевтической продукцией
1773,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",46.47,"Торговля оптовая мебелью, коврами и осветительным оборудованием",Текстиль в опт,4,"Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Торговля оптовая мебелью, коврами и осветительным "
1774,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",46.48,Торговля оптовая часами и ювелирными изделиями,Текстиль в опт,4,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Торговля оптовая часами и ювелирными изделиями
1775,13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды",46.49,Торговля оптовая прочими бытовыми товарами,Текстиль в опт,4,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство нетканых текстильных материалов и изд. Потребитель: Торговля оптовая прочими бытовыми товарами
1776,13.96,Производство прочих технических и промышленных текстильных изделий,14.1,"Производство одежды, кроме одежды из меха",Ткани для одежды,4,"Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Производство одежды, кроме одежды из меха"
1777,13.96,Производство прочих технических и промышленных текстильных изделий,14.11,Производство одежды из кожи,Ткани для одежды,5,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Производство одежды из кожи
1778,13.96,Производство прочих технических и промышленных текстильных изделий,14.12,Производство спецодежды,Ткани для одежды,5,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Производство спецодежды
1779,13.96,Производство прочих технических и промышленных текстильных изделий,14.13,Производство прочей верхней одежды,Ткани для одежды,5,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Производство прочей верхней одежды
1780,13.96,Производство прочих технических и промышленных текстильных изделий,14.14,Производство нательного белья,Ткани для одежды,5,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Производство нательного белья
1781,13.96,Производство прочих технических и промышленных текстильных изделий,14.19,Производство прочей одежды и аксессуаров одежды,Ткани для одежды,5,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Производство прочей одежды и аксессуаров одежды
1782,13.96,Производство прочих технических и промышленных текстильных изделий,14.2,Производство меховых изделий,Ткани для одежды,4,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Производство меховых изделий
1783,13.96,Производство прочих технических и промышленных текстильных изделий,14.20,Производство меховых изделий,Ткани для одежды,5,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Производство меховых изделий
1784,13.96,Производство прочих технических и промышленных текстильных изделий,14.3,Производство вязаных и трикотажных изделий одежды,Ткани для одежды,4,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Производство вязаных и трикотажных изделий одежды
1785,13.96,Производство прочих технических и промышленных текстильных изделий,14.31,Производство вязаных и трикотажных чулочно-носочных изделий,Ткани для одежды,5,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Производство вязаных и трикотажных чулочно-носочны
1786,13.96,Производство прочих технических и промышленных текстильных изделий,14.39,Производство прочих вязаных и трикотажных изделий,Ткани для одежды,5,Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Производство прочих вязаных и трикотажных изделий
1787,13.96,Производство прочих технических и промышленных текстильных изделий,15.1,"Дубление и отделка кожи, производство чемоданов, сумок, шорно-седельных изделий из кожи; выделка и крашение меха",Текстиль для обуви,2,"Текстильные материалы используются в производстве обуви (подкладка, верх обуви). Поставщик: Производство прочих технических и промышленных тек. Потребитель: Дубление и отделка кожи, производство чемоданов, с"
1788,13.96,Производство прочих технических и промышленных текстильных изделий,15.11,"Дубление и выделка кожи, выделка и крашение меха",Текстиль для обуви,4,"Текстильные материалы используются в производстве обуви (подкладка, верх обуви). Поставщик: Производство прочих технических и промышленных тек. Потребитель: Дубление и выделка кожи, выделка и крашение меха"
1789,13.96,Производство прочих технических и промышленных текстильных изделий,15.12,"Производство чемоданов, дамских сумок и аналогичных изделий из кожи и других материалов; производство шорно-седельных и других изделий из кожи",Текстиль для обуви,4,"Текстильные материалы используются в производстве обуви (подкладка, верх обуви). Поставщик: Производство прочих технических и промышленных тек. Потребитель: Производство чемоданов, дамских сумок и аналогичны"
1790,13.96,Производство прочих технических и промышленных текстильных изделий,15.2,Производство обуви,Текстиль для обуви,2,"Текстильные материалы используются в производстве обуви (подкладка, верх обуви). Поставщик: Производство прочих технических и промышленных тек. Потребитель: Производство обуви"
1791,13.96,Производство прочих технических и промышленных текстильных изделий,15.20,Производство обуви,Текстиль для обуви,4,"Текстильные материалы используются в производстве обуви (подкладка, верх обуви). Поставщик: Производство прочих технических и промышленных тек. Потребитель: Производство обуви"
1792,13.96,Производство прочих технических и промышленных текстильных изделий,22.19,Производство прочих резиновых изделий,Ссылка в классификаторе,3,"Деятельность '13.96' не включает операции, относящиеся к '22.19': производство конвейерных и приводныхремней, текстильных волокон, канатов покрытых, заламинированных,"
1793,13.96,Производство прочих технических и промышленных текстильных изделий,25.93,"Производство изделий из проволоки, цепей и пружин",Ссылка в классификаторе,3,"Деятельность '13.96' не включает операции, относящиеся к '25.93': производство тканей из металлической проволоки"
1794,13.96,Производство прочих технических и промышленных текстильных изделий,46.4,Торговля оптовая непродовольственными потребительскими товарами,Текстиль в опт,2,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Торговля оптовая непродовольственными потребительс
1795,13.96,Производство прочих технических и промышленных текстильных изделий,46.41,Торговля оптовая текстильными изделиями,Текстиль в опт,4,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Торговля оптовая текстильными изделиями
1796,13.96,Производство прочих технических и промышленных текстильных изделий,46.42,Торговля оптовая одеждой и обувью,Текстиль в опт,4,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Торговля оптовая одеждой и обувью
1797,13.96,Производство прочих технических и промышленных текстильных изделий,46.43,Торговля оптовая бытовыми электротоварами,Текстиль в опт,4,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Торговля оптовая бытовыми электротоварами
1798,13.96,Производство прочих технических и промышленных текстильных изделий,46.44,Торговля оптовая изделиями из керамики и стекла и чистящими средствами,Текстиль в опт,4,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Торговля оптовая изделиями из керамики и стекла и 
1799,13.96,Производство прочих технических и промышленных текстильных изделий,46.45,Торговля оптовая парфюмерными и косметическими товарами,Текстиль в опт,4,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Торговля оптовая парфюмерными и косметическими тов
1800,13.96,Производство прочих технических и промышленных текстильных изделий,46.46,Торговля оптовая фармацевтической продукцией,Текстиль в опт,4,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Торговля оптовая фармацевтической продукцией
1801,13.96,Производство прочих технических и промышленных текстильных изделий,46.47,"Торговля оптовая мебелью, коврами и осветительным оборудованием",Текстиль в опт,4,"Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Торговля оптовая мебелью, коврами и осветительным "
1802,13.96,Производство прочих технических и промышленных текстильных изделий,46.48,Торговля оптовая часами и ювелирными изделиями,Текстиль в опт,4,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Торговля оптовая часами и ювелирными изделиями
1803,13.96,Производство прочих технических и промышленных текстильных изделий,46.49,Торговля оптовая прочими бытовыми товарами,Текстиль в опт,4,Текстильная продукция реализуется через оптовую торговлю тканями и текстилем. Поставщик: Производство прочих технических и промышленных тек. Потребитель: Торговля оптовая прочими бытовыми товарами
1804,13.99,"Производство прочих текстильных изделий, не включенных в другие группировки",13.93,Производство ковров и ковровых изделий,Ссылка в классификаторе,4,"Деятельность '13.99' не включает операции, относящиеся к '13.93': производство ворсяного покрытия на рапирном лентоткацком станке"
1805,13.99,"Производство прочих текстильных изделий, не включенных в другие группировки",14.1,"Производство одежды, кроме одежды из меха",Ткани для одежды,4,"Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих текстильных изделий, не включе. Потребитель: Производство одежды, кроме одежды из меха"
1806,13.99,"Производство прочих текстильных изделий, не включенных в другие группировки",14.11,Производство одежды из кожи,Ткани для одежды,5,"Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих текстильных изделий, не включе. Потребитель: Производство одежды из кожи"
1807,13.99,"Производство прочих текстильных изделий, не включенных в другие группировки",14.12,Производство спецодежды,Ткани для одежды,5,"Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих текстильных изделий, не включе. Потребитель: Производство спецодежды"
1808,13.99,"Производство прочих текстильных изделий, не включенных в другие группировки",14.13,Производство прочей верхней одежды,Ткани для одежды,5,"Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих текстильных изделий, не включе. Потребитель: Производство прочей верхней одежды"
1809,13.99,"Производство прочих текстильных изделий, не включенных в другие группировки",14.14,Производство нательного белья,Ткани для одежды,5,"Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих текстильных изделий, не включе. Потребитель: Производство нательного белья"
1810,13.99,"Производство прочих текстильных изделий, не включенных в другие группировки",14.19,Производство прочей одежды и аксессуаров одежды,Ткани для одежды,5,"Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих текстильных изделий, не включе. Потребитель: Производство прочей одежды и аксессуаров одежды"
1811,13.99,"Производство прочих текстильных изделий, не включенных в другие группировки",14.2,Производство меховых изделий,Ткани для одежды,4,"Произведённые ткани и текстильные материалы поставляются швейным предприятиям для пошива одежды. Поставщик: Производство прочих текстильных изделий, не включе. Потребитель: Производство меховых изделий"
